30	3	30	1	3
100	10	100	1	10
200	20	200	1	20
300	30	300	1	30
400	40	197	2	20
500	50	218	2	22
600	60	235	2	23
700	70	249	2	25
800	80	260	3	26
900	90	270	3	27
1000	100	278	3	28
1100	110	285	3	28
1200	120	292	4	29
1300	130	297	4	30
1400	140	302	4	30
1500	150	306	5	30
1600	160	310	5	31
1700	170	314	5	31
1800	180	317	5	31
1900	190	320	6	32
2000	200	323	6	32
2100	210	325	6	32
2200	220	328	6	33
2300	230	330	6	33
2400	240	332	7	33
2500	250	334	7	33
